MonitoringLocationID,MonitoringLocationName,Date,Characteristic,Value,Unit,Latitude,Longitude,Year
EPA_R7_WQX-SC564,Labette Creek near Labette,2024-09-23,"Temperature, water",22.6,deg C,37.22995,-95.1975,2024
PRAIRIEBAND-SCO3,Big Soldier Creek #3,2024-08-27,Sodium,22.0,mg/L,39.3758,-95.9183,2024
EPA_R7_WQX-SC555,Marais des Cygnes River near Richter,2024-09-24,Total Coliform,2419.6,MPN/100mL,38.596973,-95.378526,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-03-06,Turbidity,1.0,NTU,39.992569,-97.931967,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-08-05,Velocity-discharge,34.1,cfs,39.980149,-97.003893,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-07-16,"Total Phosphorus, mixed forms",0.309,mg/L,39.992569,-97.931967,2024
EPA_R7_WQX-SC638,Captain Creek near Eudora,2024-09-23,Escherichia coli,161.6,MPN/100mL,38.94317,-95.06243,2024
PRAIRIEBAND-LSCO3,Little Soldier Creek #3,2024-07-10,Metolachlor,0.5,ug/L,39.3225,-95.7758,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-02-21,Escherichia coli,99.0,MPN/100mL,39.992569,-97.931967,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-09-30,Specific conductance,1055.0,umho/cm,39.980149,-97.003893,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-02-20,Nitrate + Nitrite,2.13,mg/L,39.980149,-97.003893,2024
EPA_R7_WQX-SC206,Marais des Cygnes near Trading Post,2024-10-08,Conductivity,373.0,mS/cm,38.248931,-94.686329,2024
PRAIRIEBAND-SCO7,Big Soldier Creek #7,2024-07-17,Selenium,1.2,ug/L,39.2658,-95.8864,2024
PRAIRIEBAND-SCO7,Big Soldier Creek #7,2024-08-27,Copper,1.6,ug/L,39.2658,-95.8864,2024
PRAIRIEBAND-SCO7,Big Soldier Creek #7,2024-07-31,Boron,0.066,mg/L,39.2658,-95.8864,2024
PEORIAWATER-N3,Neosho River 3,2024-04-24,Dissolved oxygen (DO),8.81,mg/L,37.034843598,-95.0735833821,2024
EPA_R7_WQX-LBB2,LBB Outflow,2024-09-19,Conductivity,757.0,mS/cm,39.0685003956,-95.7710493207,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-05-14,Specific conductance,762.0,umho/cm,39.992569,-97.931967,2024
EPA_R7_WQX-CON2,Downstream Control,2024-09-16,Turbidity,36.3,NTU,39.0930760045,-94.7100326483,2024
EPA_R7_WQX-SC571,Labette Creek near Chetopa,2024-09-23,Turbidity,25.0,NTU,37.07454,-95.10293,2024
EPA_R7_WQX-SC577,Dragoon Creek near Burlingame,2024-10-08,Dissolved oxygen (DO),7.0,mg/L,38.69917,-95.77882,2024
EPA_R7_WQX-KVC6,KVC2 Downstream,2024-09-16,Conductivity,798.0,mS/cm,39.0603029982,-94.7665188018,2024
